Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
"
1A001 'Parts' and 'components' made from
fluorinated compounds, as follows (see List of
Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $5000
GBS: N/A
CIV: N/A

",,"
List of Items Controlled
Related Controls: (1) Items 'specially
designed' or modified for missiles or for
items on the U.S. Munitions List are 'subject






to the ITAR' (see 22 CFR parts 120 through
130, including USML Category XXI). (2)
See also 1C009.
Related Definitions: N/A
Items:


a.  Seals, gaskets, sealants or fuel bladders,
'specially designed' for 'aircraft' or aerospace
use, made from more than 50% by weight of any
of the materials controlled by 1C009.b or
1C009.c;


b. [Reserved]



"
"
1A002 'Composite' structures or laminates,
having any of the following (see List of Items
Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""NP applies to 1A002.b.1 in\rthe form of tubes with an\rinside diameter between 75\rmm and 400 mm"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]","
Reporting Requirements


See § 743.1 of the EAR for reporting
requirements for exports under License
Exceptions, and Validated End-User
authorizations.

","
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $1,500; N/A for NP; N/A for
'composite' structures or laminates
controlled by 1A002.a, having an
organic 'matrix' and made from
materials controlled by 1C010.c or
1C010.d.
GBS: N/A






CIV: N/A

","
Special Conditions for STA


STA:  License Exception STA may not be
used to ship any item in this entry to
any of the destinations listed in
Country Group A:6 (See Supplement
No.1 to part 740 of the EAR).

","
List of Items Controlled


Related Controls:  (1) See ECCNs 1E001
('development' and 'production') and
1E201 ('use') for technology for items
controlled by this entry.  (2) Also see
ECCNs 1A202, 1C010, 1C210, 9A010, and
9A110.  (3) 'Composite' structures
'specially designed' for missile applications
(including 'specially designed' subsystems,
'parts,' and 'components') are controlled by
ECCN 9A110.  (4)  'Composite' structures
or laminates 'specially designed' or prepared
for use in separating uranium isotopes are
subject to the export licensing authority of
the Nuclear Regulatory Commission (see 10
CFR part 110).
Related Definitions:  N/A
Items:


a. Consisting of an organic 'matrix' and
materials controlled by 1C010.c 1C010.d, or
1C010.e or


b. Consisting of a metal or carbon 'matrix', and
any of the following:


b.1. Carbon 'fibrous or filamentary
materials' having all of the following:


b.1.a. A 'specific modulus' exceeding
10.15 x 106 m; and


b.1.b. A 'specific tensile strength'
exceeding 17.7 x 104 m; or


b.2. Materials controlled by 1C010.c.


Note 1: 1A002 does not control 'composite'
structures or laminates made from epoxy resin






impregnated carbon 'fibrous or filamentary
materials,' for the repair of 'civil aircraft'
structures or laminates, having all of the
following:


a. An area not exceeding 1 m2;
b. A length not exceeding 2.5 m; and
c. A width exceeding 15 mm.


Note 2: 1A002 does not control semi-finished
items, 'specially designed' for purely civilian
applications as follows:


a. Sporting goods;


b. Automotive industry;


c. Machine tool industry;


d. Medical applications.


Note 3: 1A002.b.1 does not apply to
semi-finished items containing a maximum of two
dimensions of interwoven filaments and
'specially designed' for applications as follows:


a. Metal heat-treatment furnaces for
tempering metals;


b. Silicon boule production equipment.


Note 4: 1A002 does not apply to finished
items 'specially designed' for a specific
application.



"
"
1A003 Manufactures of non-'fusible'
aromatic polyimides in film, sheet, tape or
ribbon form having any of the following (see
List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $200
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: This entry does not control
manufactures when coated or laminated with
copper and designed for the production of
electronic printed circuit boards. For
'fusible' aromatic polyimides in any form,
see 1C008.a.3.
Related Definitions: N/A
Items:


a. A thickness exceeding 0.254 mm; or


b. Coated or laminated with carbon, graphite,
metals or magnetic substances.



"
"
1A004 Protective and detection equipment
and 'components,' not 'specially designed'
for military use, as follows (see List of Items
Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""CB applies to chemical\rdetection systems and\rdedicated detectors\rtherefor, in 1A004.c, that\ralso have the technical\rcharacteristic"",""CB Column 2""],[""RS apply to 1A004.d"",""RS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)








LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: (1) See ECCNs 1A995,
2B351, and 2B352. (2)  See ECCN 1D003
for 'software' 'specially designed' or
modified to enable equipment to perform the
functions of equipment controlled under
section 1A004.c (Nuclear, biological and
chemical (NBC) detection systems).  (3)
See ECCN 1E002.g for control libraries
(parametric technical databases) 'specially
designed' or modified to enable equipment
to perform the functions of equipment
controlled under 1A004.c (Nuclear,
biological and chemical (NBC) detection
systems). (4) Chemical and biological
protective and detection equipment
specifically designed, developed, modified,
configured, or adapted for military
applications is 'subject to the ITAR' (see 22
CFR parts 120 through 130, including USML
Category XIV(f)), as is commercial
equipment that incorporates 'parts' or
'components' controlled under that category
except for domestic preparedness devices for
individual protection that integrate
'components' and 'parts' identified in
USML Category XIV(f)(4) when such
'parts' or 'components' are: 1) integral to
the device; 2) inseparable from the device;
and 3) incapable of replacement without
compromising the effectiveness of the
device, in which case the equipment is
subject to the export licensing jurisdiction of
the Department of Commerce under ECCN
1A004.  (5)  This entry does not control
radionuclides incorporated in equipment
listed in this entry - such materials are subject
to the licensing jurisdiction of the Nuclear
Regulatory Commission (See 10 CFR part
110).
Related Definitions: 1) ‘Biological agents’
means: pathogens or toxins, selected or
modified (such as altering purity, shelf life,
virulence, dissemination characteristics, or
resistance to UV radiation) to produce






casualties in humans or animals, degrade
equipment or damage crops or the
environment.  2) ‘Riot control agents’ are
substances which, under the expected
conditions of use for riot control purposes,
produce rapidly in humans sensory irritation
or disabling physical effects which disappear
within a short time following termination of
exposure.  (Tear gases are a subset of ‘riot
control agents.’)


Items:


a. Full face masks, filter canisters and
decontamination equipment therefor, designed or
modified for defense against any of the
following, and 'specially designed'
'components' therefor:


Note: 1A004.a includes Powered Air
Purifying Respirators (PAPR) that are designed
or modified for defense against agents or
materials, listed in 1A004.a.


Technical Notes: For the purpose of
1A004.a:
1. Full face masks are also known as gas
masks.
2. Filter canisters include filter cartridges.


a.1.  ‘Biological agents’;


a.2.  ‘Radioactive materials;’


a.3.  Chemical warfare (CW) agents; or


a.4. ‘Riot control agents’, as follows:


a..4.a. α-Bromobenzeneacetonitrile,
(Bromobenzyl cyanide) (CA) (CAS 5798-79-8);


a..4.b.   [(2-chlorophenyl) methylene]
propanedinitrile,
(o-Chlorobenzylidenemalononitrile) (CS) (CAS
2698-41-1);
a..4.c.  2-Chloro-1-phenylethanone,
Phenylacyl chloride (ω-chloroacetophenone)
(CN) (CAS 532-27-4);










a..4.d.  Dibenz-(b,f)-1,4-oxazephine,
(CR) (CAS 257-07-8);


a..4.e.  10-Chloro-5,
10-dihydrophenarsazine, (Phenarsazine
chloride), (Adamsite), (DM) (CAS 578-94-9);


a..4.f.  N-Nonanoylmorpholine,
(MPA) (CAS 5299-64-9);


b.  Protective suits, gloves and shoes, 'specially
designed' or modified for defense against any of
the following:


b.1. ‘Biological agents’;


b.2. ‘Radioactive materials;’ or


b.3. Chemical warfare (CW) agents;


c. Detection systems, 'specially designed' or
modified for detection or identification of any of
the following, and 'specially designed'
'components' therefor:


c.1. ‘Biological agents’;


c.2.  ‘Radioactive materials;’ or


c.3.   Chemical warfare (CW) agents;


d. Electronic equipment designed for
automatically detecting or identifying the
presence of 'explosives' (as listed in the annex at
the end of Category 1) residues and utilizing
‘trace detection’ techniques (e.g., surface
acoustic wave, ion mobility spectrometry,
differential mobility spectrometry, mass
spectrometry).


Technical Note: ‘Trace detection’ is defined as
the capability to detect less than 1 ppm vapor, or
1 mg solid or liquid.


Note 1: 1A004.d. does not apply to
equipment 'specially designed' for laboratory
use.


Note 2: 1A004.d. does not apply to
non-contact walk-through security portals.








Note: 1A004 does not control:


a. Personal radiation monitoring dosimeters;


b. Occupational health or safety equipment
limited by design or function to protect
against hazards specific to residential safety
or civil industries, including:


1.  Mining;
2.  Quarrying;
3.  Agriculture;
4.  Pharmaceutical;
5.  Medical;
6.  Veterinary;
7.  Environmental;
8.  Waste management;
9.  Food industry.


Technical Notes:


1. 1A004 includes equipment, 'components'
that have been ‘identified,’ successfully tested to
national standards or otherwise proven effective,
for the detection of or defense against
‘radioactive materials’ ''‘biological agents,’
chemical warfare agents, ‘simulants’ or 'riot
control agents,' even if such equipment or
'components' are used in civil industries such as
mining, quarrying, agriculture, pharmaceuticals,
medical, veterinary, environmental, waste
management, or the food industry.


2. ‘Simulant’: A substance or material that is
used in place of toxic agent (chemical or
biological) in training, research, testing or
evaluation.


3. For the purposes of 1A004, ‘radioactive
materials’ are those selected or modified to
increase their effectiveness in producing
casualties in humans or animals, degrading
equipment or damaging crops or the
environment.



"
"
1A005  Body armor and 'specially designed'
'components' therefor, as follows (see List of
Items Controlled).







","[[""NS applies to entire entry"",""NS Column 2""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls.""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: Yes, except UN
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) Bulletproof and bullet
resistant vests (body armor) providing NIJ
Type IV protection or greater are 'subject to
the ITAR' (see 22 CFR 121.1 Category
X(a)).  (2) Soft body armor and protective
garments manufactured to military standards
or specifications that provide protection
equal to NIJ level III or less are classified
under ECCN 1A613.d.1.  (3) Hard armor
plates providing NIJ level III ballistic
protection are classified under ECCN
1A613.d.2.  (4) Police helmets and shields
are classified under ECCN 0A979.  (5)
Other personal protective 'equipment'
'specially designed' for military applications
not controlled by the USML or elsewhere in
the CCL is classified under ECCN 1A613.e.
(6) For 'fibrous or filamentary materials'






used in the manufacture of body armor, see
ECCN 1C010.


Related Definitions: N/A
Items:


a.  Soft body armor not manufactured to military
standards or specifications, or to their
equivalents, and 'specially designed'
'components' therefor;


b. Hard body armor plates that provide ballistic
protection less than NIJ level III (NIJ 0101.06,
July 2008) or national equivalents.


Notes to ECCN 1A005:


1.  This entry does not control body armor when
accompanying its user for the user’s own
personal protection.


2.  This entry does not control body armor
designed to provide frontal protection only from
both fragment and blast from non-military
explosive devices.


3. This entry does not apply to body armor
designed to provide protection only from knife,
spike, needle or blunt trauma.



"
"
1A006 Equipment, 'specially designed' or
modified for the disposal of improvised
explosive devices, as follows (see List of Items
Controlled), and 'specially designed'
'components' and 'accessories' therefor.

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: Equipment 'specially
designed' for military use for the disposal of
improvised explosive devices is 'subject to
the ITAR' (see 22 CFR parts 120 through
130, including USML Category IV).
Related Definitions: ‘Disruptors’ - Devices
'specially designed' for the purpose of
preventing the operation of an explosive
device by projecting a liquid, solid or
frangible projectile.
Items:


a. Remotely operated vehicles;


b. ‘Disruptors’.



"
"
1A007 Equipment and devices, 'specially
designed' to initiate charges and devices
containing 'energetic materials,' by electrical
means, as follows (see List of Items
Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""NP applies to 1A007.b,\ras well as 1A007.a when\rthedetonatorfiringset\rmeetsorexceedsthe\rparameters of 3A229."",""NP Column 1""],[""AT applies to entire\rentry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: High explosives and
related equipment 'specially designed' for
military use are 'subject to the ITAR' (see 22
CFR parts 120 through 130).  This entry
does not control detonators using only
primary explosives, such as lead azide.  See
also ECCNs 0A604, 3A229, and 3A232.
See 1E001 for 'development' and
'production' technology controls, and 1E201
for 'use' technology controls.
Related Definitions: N/A
Items:


a. Explosive detonator firing sets designed to
drive explosive detonators specified by 1A007.b;


b. Electrically driven explosive detonators as
follows:


b.1. Exploding bridge (EB);


b.2. Exploding bridge wire (EBW);


b.3. Slapper;


b.4. Exploding foil initiators (EFI).


Technical Notes:


1. The word initiator or igniter is
sometimes used in place of the word detonator.


2. For the purpose of 1A007.b the
detonators of concern all utilize a small electrical
conductor (bridge, bridge wire, or foil) that
explosively vaporizes when a fast, high-current
electrical pulse is passed through it. In non
slapper types, the exploding conductor starts a
chemical detonation in a contacting high
explosive material such as PETN
(pentaerythritoltetranitrate). In slapper






detonators, the explosive vaporization of the
electrical conductor drives a flyer or slapper
across a gap, and the impact of the slapper on an
explosive starts a chemical detonation. The
slapper in some designs is driven by magnetic
force. The term exploding foil detonator may
refer to either an EB or a slapper-type detonator.



"
"
1A008  Charges, devices and 'components,'
as follows (see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  $3,000 for .a through .c;
$6,000 for .d.
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls:  (1) All of the following
are 'subject to the ITAR' (see 22 CFR parts
120 through 130):


a. High explosives and related equipment
'specially designed' for military use;


b. Explosive devices or charges in this
entry that utilize USML controlled energetic
materials (See 22 CFR 121.1 Category V), if
they have been specifically designed,
developed, configured, adapted, or modified
for a military application;


c.  Shaped charges that have all of the
following a uniform shaped conical liner






with an included angle of 90 degrees or less,
more than 2.0 kg of controlled materials, and
a diameter exceeding 4.5 inches;


d. Detonating cord containing greater than
0.1 kg per meter (470 grains per foot) of
controlled materials;


e.  Cutters and severing tools containing
greater than 10 kg of controlled materials;


f.  With the exception of cutters and
severing tools, devices or charges controlled
by this entry where the USML controlled
materials can be easily extracted without
destroying the device or charge; and


g. Individual USML controlled energetic
materials in this entry, even when
compounded with other materials, when not
incorporated into explosive devices or
charges controlled by this entry or 1C992.


(2) See also ECCNs 1C011, 1C018, 1C111,
1C239, and 1C608  for additional controlled
energetic materials. See ECCN 1E001 for the
'development' or 'production'
'technology' for the commodities controlled
by ECCN 1A008, but not for explosives or
commodities that are 'subject to the ITAR'
(see 22 CFR parts 120 through 130).


Related Definitions: N/A
Items:


a.  ‘Shaped charges’ having all of the following:


a.1. Net Explosive Quantity (NEQ) greater
than 90 g; and


a.2. Outer casing diameter equal to or greater
than 75 mm;


b.  Linear shaped cutting charges having all of
the following, and 'specially designed'
'components' therefor:


b.1. An explosive load greater than 40 g/m;
and








b.2.  A width of 10 mm or more;


c. Detonating cord with explosive core load
greater than 64 g/m;


d. Cutters, other than those specified by 1A008.b,
and severing tools, having a NEQ greater than 3.5
kg.


Technical Note: ‘Shaped charges’ are
explosive charges shaped to focus the effects of
the explosive blast.


Note:  The only charges and devices
specified in 1A008 are those containing
'explosives' (see list of explosives in the Annex
at the end of Category 1) and mixtures thereof.



"
"
1A101  Devices for reduced observables such
as radar reflectivity, ultraviolet/infrared
signatures and acoustic signatures, for
applications usable in rockets, missiles, or
unmanned aerial vehicles capable of achieving
a 'range' equal to or greater than 300 km or
their complete subsystems.

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: (1) See also 1C101. (2) For
commodities that meet the definition of
defense articles under 22 CFR 120.3 of the
International Traffic in Arms Regulations






(ITAR), describes similar commodities
'subject to the ITAR' (See 22 CFR parts 120
through 130, including USML Category
XIII).
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1A102  Resaturated pyrolized carbon-carbon
'parts' and 'components' designed for
rockets, missiles, or unmanned aerial vehicles
capable of achieving a  'range' equal to or
greater than 300km.  (These items are
'subject to the ITAR.'  See 22 CFR parts 120
through 130).



","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,,,
